date,region,confirmed,population
2020-03-12,København by,127,794128
2020-03-12,Københavns omegn,57,548370
2020-03-12,Nordsjælland,73,463942
2020-03-12,Bornholm,0,39583
2020-03-12,Østsjælland,35,250702
2020-03-12,Vest- og Sydsjælland,42,586657
2020-03-12,Fyn,38,498506
2020-03-12,Sydjylland,38,724599
2020-03-12,Østjylland,145,897129
2020-03-12,Vestjylland,19,429211
2020-03-13,København by,160,794128
2020-03-13,Københavns omegn,79,548370
2020-03-13,Nordsjælland,85,463942
2020-03-13,Bornholm,0,39583
2020-03-13,Østsjælland,50,250702
2020-03-13,Vest- og Sydsjælland,53,586657
2020-03-13,Fyn,50,498506
2020-03-13,Sydjylland,80,724599
2020-03-13,Østjylland,154,897129
2020-03-13,Vestjylland,21,429211
2020-03-16,København by,187,794128
2020-03-16,Københavns omegn,97,548370
2020-03-16,Nordsjælland,95,463942
2020-03-16,Bornholm,0,39583
2020-03-16,Østsjælland,58,250702
2020-03-16,Vest- og Sydsjælland,64,586657
2020-03-16,Fyn,59,498506
2020-03-16,Sydjylland,87,724599
2020-03-16,Østjylland,162,897129
2020-03-16,Vestjylland,28,429211
